num_pozo,empresa,propietario,propietariotel,propietariofax,propietariopostal,propietarioemail,propietariodirec,agua uso,Uso del agua agregado,caudal,direcpozo,profundidad,sperfora,captar,hojacarto,latitud,longitud,altitud,provincia,canton,distrito,lugar,fechaap
BC-459,AyA,AYA,,,,,,ABAST. PUBLICO,Consumo humano,4.00,,67.00,PERCUSION,G Bar Mira Chap,BARRANCA,217800,468700,0.00,6,602,60204,San Rafael de Esparza,2000-04-14
BC-46,GUANACASTECA,FERNANDO BATALLA,,,,,,DOMESTICO,Consumo humano,0.50,,74.61,PERCUSION,G Bar Mira Chap,BARRANCA,204900,464100,55.00,6,611,61102,BARRANCA,1973-04-25
BC-460,PERF. ROCA S.A.,AVICULTORES UNIDOS LA GARITA,,,,,,ABREVADERO,Agroganadería,2.50,,73.00,ROTACION,G Bar Mira Chap,BARRANCA,213700,471000,,2,204,20403,LABRADOR,2001-09-07
BC-461,DURAN DEL PACIFICO,MURISANDI S.A.,,,,,,DOMESTICO,Consumo humano,0.50,,40.00,,FM.PTA CARBALLO,BARRANCA,214075,457200,,6,602,60201,LA MONCHA,2001-09-18
BC-462,DESARR.TIERRAS PACIFICO,ADALIDQUIROS ROJAS,,,,,,DOMESTICO,Consumo humano,0.50,,40.00,,G Bar Mira Chap,BARRANCA,220100,464075,,6,602,60201,LA RIVERA,2001-10-01
BC-463,GOLDONI S.A.,OMAR VALVERDE SEGURA,,,,,,DOMESTICO,Consumo humano,0.50,,,,G Bar Mira Chap,BARRANCA,214200,461550,,6,602,60202,JUANILAMA,2001-10-09
BC-464,ZARAGOZA S.A.,DARRIL UMA?A RODRIGUEZ,,,,,,DOMESTICO,Consumo humano,2.50,,80.00,,G Bar Mira Chap,BARRANCA,208075,474350,178.00,2,209,20904,SITIO ESPERANZA,2001-11-02
BC-465,WILLIAM RAMOS ROBLES,RODOLFO E.LIZANO ROJAS,,,,,,DOMESTICO,Consumo humano,1.20,,36.00,,G Bar Mira Chap,BARRANCA,218400,467940,,6,602,60204,SAN RAFAEL,2001-11-27
BC-466,J.J. BADILLA BARQUERO,CARLOS MEDINA FAJARDO,,,,,,DOMESTICO,Consumo humano,3.00,,68.00,PERCUSION,G Bar Mira Chap,BARRANCA,209240,480075,,2,209,20901,OROTINA,2001-12-11
BC-467,ZARAGOZA S.A.,Inv. y Des. Las Marg Internac,,,,,,DOMESTICO,Consumo humano,2.00,,89.00,,G Bar Mira Chap,BARRANCA,210950,478825,,2,209,20901,OROTINA,2002-01-14
BC-468,PERF. ACUARIO S.A,David Montesinos,,,,,,DOMESTICO,Consumo humano,2.00,,75.00,,G Bar Mira Chap,BARRANCA,206375,475050,80.00,2,209,20904,Limonal,2002-01-14
BC-469,ROYPE S.A.,CARLOS VARGAS UMA?A,,,,,,DOMESTICO,Consumo humano,1.50,,60.00,,G Bar Mira Chap,BARRANCA,209000,478750,,2,209,20901,TIGRE,2002-01-14
BC-47,SIN DATO,JULIO BERROCAL,,,,,,DOMESTICO,Consumo humano,0.50,,38.10,PERCUSION,G Bar Mira Chap,BARRANCA,219000,465800,230.00,6,602,60202,SAN J CHIQUITO,1973-05-24
BC-470,DURAN DEL PACIFICO,ANA SANDOVAL NU?EZ,,,,,,DOMESTICO,Consumo humano,1.30,,30.00,,G Bar Mira Chap,BARRANCA,219400,466500,,6,602,60202,NANCES,2002-01-14
BC-471,ZARAGOZA S.A.,JOSE LITO JIMENEZ JIMENEZ,,,,,,ABREVADERO,Agroganadería,2.00,,93.00,,PUNTA CARBALLO,BARRANCA,202075,471100,,6,611,61102,LAGUNILLAS,2002-01-14
BC-472,HIDROMAQ S.A.,OLEAGINOSAS AMERICANAS S.A,,,,,,INDUSTRIAL,Industrial y comercial,14.00,,30.00,,G Bar Mira Chap,BARRANCA,218925,457375,,6,601,60108,BARRANCA,2002-01-17
BC-473,DURAN DEL PACIFICO,GREGORY MICHAEL RUZICKA,,,,,,INDUSTRIAL,Industrial y comercial,2.00,,90.00,PERCUSION,FM.PTA CARBALLO,BARRANCA,210200,463450,,2,209,20905,SALINAS,2002-01-25
BC-474,ZARAGOZA S.A.,LUIS FDO.JIMENEZ VASQUEZ,,,,,,DOMESTICO,Consumo humano,0.50,,144.00,PERCUSION,G Bar Mira Chap,BARRANCA,208875,464300,,2,209,20905,SALINAS,2002-02-05
BC-475,J.J. BADILLA BARQUERO,CARLOS M.MORALES BARRANTES,,,,,,DOMESTICO,Consumo humano,2.00,,90.00,PERCUSION,G Bar Mira Chap,BARRANCA,209300,480760,,2,209,20901,LA COYOTERA,2002-02-12
BC-476,J.J. BADILLA BARQUERO,MARIO G.CHACON ALVARADO,,,,,,DOMESTICO,Consumo humano,3.00,,100.00,PERCUSION,G Bar Mira Chap,BARRANCA,202700,471400,,6,611,61102,LAGUNILLA,2002-02-12
BC-477,AGUA SEGURA LTDA.,LUIS MEJIAS SANABRIA,,,,,,DOMESTICO,Consumo humano,2.00,,70.00,ROTACION,FM.PTA.CARBALLO,BARRANCA,207925,474450,,2,209,20904,LIMONAL,2002-02-20
BC-478,ZARAGOZA S.A.,JOSE A.JIMENEZ VAN PATTEN,,,,,,DOMESTICO,Consumo humano,2.00,,72.00,PERCUSION,GPO.AGUACATE,BARRANCA,207575,474425,,2,209,20904,LIMONAL,2002-03-13
BC-479,WILLIAM RAMOS ROBLES,ZULMA VILLANUEVA MARADIAGA,,,,,,DOMESTICO,Consumo humano,0.65,,30.00,PERCUSION,G Bar Mira Chap,BARRANCA,218500,467850,,6,602,60204,SAN RAFAEL,2002-03-13
BC-48,GUANACASTECA,HACIENDA SANTA MARTA,,,,,,AGROINDUSTRIAL,Industrial y comercial,0.76,,54.80,PERCUSION,G Bar Mira Chap,BARRANCA,210100,468200,115.00,2,209,20905,BARRANCA,1973-06-13
BC-480,HIDROMAQ S.A.,BANCO ELCA S.A.,,,,,,DOMESTICO,Consumo humano,4.20,,100.00,PERCUSION,G Bar Mira Chap,BARRANCA,219360,465175,,6,602,60202,SAN JUAN,2002-03-13
BC-481,DURAN DEL PACIFICO,INV.BOLA?OS & BOLA?OS S.A.,,,,,,DOMESTICO,Consumo humano,2.00,,40.00,PERCUSION,G Bar Mira Chap,BARRANCA,209825,469900,105.00,2,209,20905,HIDALGO,2002-03-13
BC-482,ROYPE S.A.,IGMA DE COSTA RICA S.A.,,,,,,RIEGO,Agroganadería,1.50,,56.00,PERCUSION,GPO.AGUACATE,BARRANCA,211650,479550,,2,209,20901,CUATRO ESQUINAS,2002-03-20
BC-483,J.J. BADILLA BARQUERO,JOSE PAULO CASTRO MIRANDA,,,,,,DOMESTICO,Consumo humano,3.00,,60.00,PERCUSION,G Bar Mira Chap,BARRANCA,210845,480975,,2,209,20903,MARICHAL,2002-03-20
BC-484,ZARAGOZA S.A.,PERFORACIONES ZARAGOZA S.A.,,,,,,DOMEST-RIEGO,Agroganadería,2.00,,70.00,PERCUSION,GPO.AGUACATE,BARRANCA,208250,465800,80.00,2,209,20905,CASCAJAL,2004-01-21
BC-485,ZARAGOZA S.A.,CORP.AMAG DE ALAJUELA S.A.,,,,,,INDUSTRIAL,Industrial y comercial,2.00,,80.00,PERCUSION,G Bar Mira Chap,BARRANCA,212125,477375,,2,209,20901,OROTINA,2002-03-20
BC-486,AGUA SEGURA LTDA.,IGOR SIMMI,,,,,,DOMESTICO,Consumo humano,1.00,,80.00,ROTACION,G Bar Mira Chap,BARRANCA,214700,471400,,2,204,20403,CALLE QUINTA,2002-04-03
BC-487,WILLIAM RAMOS ROBLES,MARIA ISABEL BARRANTES VENEGAS,,,,,,DOMESTICO,Consumo humano,0.65,,35.00,PERCUSION,G Bar Mira Chap,BARRANCA,218910,466050,,6,602,60202,SAN JUAN CHIQUITO,2002-04-02
BC-488,ZARAGOZA S.A.,ROBERTO HERRERA GUIDO,,,,,,DOMESTICO,Consumo humano,1.00,,60.00,PERCUSION,PUNTA CARBALLO,BARRANCA,209175,464525,,2,209,20905,UVITA,2002-04-23
BC-489,J.J. BADILLA BARQUERO,RODOLFO QUIROS GUARDIA,,,,,,DOMESTICO,Consumo humano,1.50,,66.00,PERCUSION,G Bar Mira Chap,BARRANCA,209130,480250,,2,209,20901,OROTINA,2002-04-23
BC-49,SENARA,ESCUELA,,,,,,DOMESTICO,Consumo humano,0.63,,27.43,PERCUSION,G Bar Mira Chap,BARRANCA,219300,463400,200.00,6,602,60201,CENTRO ESPARTA,1973-11-28
BC-490,ARVIN DIONISIO CARRION,ASOC.DES.SAN RAFAEL DE ESPARZA,,,,,,RIEGO,Agroganadería,1.00,,70.00,PERCUSION,FM.PTA.CARBALLO,BARRANCA,217485,468495,,6,602,60204,LLANADA DEL CACAO,2002-04-26
BC-491,NUEVO MILENIO CIUD.COLON,"REPRES.LEON CORTES B,S.A.",,,,,,DOMESTICO,Consumo humano,0.95,,30.00,PERCUSION,G Bar Mira Chap,BARRANCA,216750,472900,,2,204,20403,POZA AZUL,2002-04-26
BC-492,AGUA SEGURA LTDA.,"JOSE,EUGENIA Y LUCIA CARRO S.A",,,,,,DOMESTICO,Consumo humano,2.00,,63.00,ROTACION,GPO.AGUACATE,BARRANCA,210965,480645,,2,209,20901,MARICHAL,2002-04-26
BC-493,J.J. BADILLA BARQUERO,ANA ISABEL MURILLO ULLOA,,,,,,DOMESTICO,Consumo humano,3.00,,64.00,PERCUSION,G Bar Mira Chap,BARRANCA,209000,480100,,2,209,20901,OROTINA,2002-05-02
BC-494,ZARAGOZA S.A.,EMMA ENILDA ZUMBADO PEREZ,,,,,,DOMESTICO,Consumo humano,2.00,,85.00,PERCUSION,FM.PTA.CARBALLO,BARRANCA,206100,474100,,2,209,20904,LIMONAL,2002-05-06
BC-495,ZARAGOZA S.A.,LUIS GERARDO CASTILLO ALFARO,,,,,,RIEGO,Agroganadería,2.50,,77.00,PERCUSION,G Bar Mira Chap,BARRANCA,207575,473775,,2,209,20904,LIMONAL,2002-05-15
BC-496,AGUA SEGURA LTDA.,AGRICOLA IND.CENTROAMERICANA,,,,,,RIEGO,Agroganadería,2.50,,62.00,ROTACION,FM.GRIFO ALTO,BARRANCA,211615,481480,,2,209,20903,HACIENDA VIEJA,2002-05-15
BC-497,ZARAGOZA S.A.,GLADYS RIVERA RIVERA,,,,,,DOMESTICO,Consumo humano,6.50,,92.00,PERCUSION,G Bar Mira Chap,BARRANCA,209050,477900,,2,209,20901,OROTINA,2002-05-17
BC-498,J.J. BADILLA BARQUERO,JOSE GERARDO RIBA BAZO,,,,,,DOMESTICO,Consumo humano,3.00,,64.00,PERCUSION,G Bar Mira Chap,BARRANCA,209250,479975,,2,209,20901,LA COYOTERA,2002-05-24
BC-499,ZARAGOZA S.A.,FINCA SALITRAL DE ESPARZA S.A.,,,,,,RIEGO,Agroganadería,1.00,,50.00,PERCUSION,G Bar Mira Chap,BARRANCA,219725,471850,,6,602,60204,SALITRAL,2002-05-24
BC-5,S.C.I.S.P.,AYA,,,,,,ABAST. PUBLICO,Consumo humano,1.26,,35.68,PERCUSION,G Bar Mira Chap,BARRANCA,219850,456600,15.00,6,601,60108,HDA EL MANGO,1971-07-23
BC-50,SIN DATO,CARIBE S.R.L.,,,,,,DOMESTICO,Consumo humano,1.32,,45.73,PERCUSION,G Bar Mira Chap,BARRANCA,219900,462900,200.00,6,602,60201,ESPARZA,1975-06-23
BC-500,ARAGONES & CIA,JESUS ROBERTO GUERRERO,,,,,,DOMESTICO,Consumo humano,1.50,,70.00,PERCUSION,G Bar Mira Chap,BARRANCA,212450,466500,,2,204,20403,ORICUAJO,2002-05-24
BC-501,TRIPLE A S.A.,MARIA RODRIGUEZ ULLOA,,,,,,DOMESTICO,Consumo humano,2.00,,26.00,PERCUSION,G Bar Mira Chap,BARRANCA,209250,480300,,2,209,20901,LA COYOTERA,2002-06-04
BC-502,PERF. ACUARIO S.A,INV.PELON DE BELEN S.A.,,,,,,DOMESTICO,Consumo humano,9.50,,90.00,PERCUSION,G Bar Mira Chap,BARRANCA,206125,470810,,2,209,20904,SANTA RITA,2002-06-04
BC-503,AGUA SEGURA LTDA.,COMPA?IA CAFETALERA GUARUMAL,,,,,,RIEGO,Agroganadería,2.00,,100.00,ROTACION,G Bar Mira Chap,BARRANCA,214075,467625,,2,204,20403,LABRADOR,2002-07-09
BC-504,AGUA SEGURA LTDA.,FLORIBETH MURILLO CHAVARRIA,,,,,,DOMESTICO,Consumo humano,4.00,,75.00,ROTACION,G Bar Mira Chap,BARRANCA,204940,473150,,2,209,20904,SAN JERONIMO,2002-07-09
BC-505,AGUA SEGURA LTDA.,INVERSIONES QUEBRADA GATA S.A.,,,,,,DOMESTICO,Consumo humano,2.50,,95.00,ROTACION,G Bar Mira Chap,BARRANCA,209800,475615,,2,209,20902,COYOLAR,2002-07-16
BC-506,ARVIN DIONISIO CARRION,FAUSTINO MADRIGAL CONEJO,,,,,,DOMESTICO,Consumo humano,2.50,,50.00,PERCUSION,G Bar Mira Chap,BARRANCA,217835,466078,218.00,6,602,60202,SAN JUAN GRANDE,2002-08-08
BC-507,ARVIN DIONISIO CARRION,JOSE RAMON BARCENAS,,,,,,DOMESTICO,Consumo humano,1.00,,42.00,PERCUSION,FM.PTA CARBALLO,BARRANCA,215600,467145,,6,602,60204,BARON,2002-08-23
BC-508,HIDROMAQ S.A.,CARLOS GARITA MOYA,,,,,,DOMESTICO,Consumo humano,1.84,,50.00,PERCUSION,FM.TIVIVES,BARRANCA,211968,476969,160.00,2,209,20901,LA ESPERANZA,2002-09-03
BC-509,PERF. ACUARIO S.A,SERV.FIDUCIARIOS DEL FORO S.A.,,,,,,INDUSTRIAL,Industrial y comercial,2.12,,90.00,PERCUSION,G Bar Mira Chap,BARRANCA,208785,465500,100.00,2,209,20905,KM-81,2002-09-06
BC-51,AGUA SEGURA LTDA.,CONDOMINIO QUINTAS CASA DE CAMPO,,,,,,DOMESTICO,Consumo humano,3.15,,70.00,ROTACION,G Bar Mira Chap,BARRANCA,209400,479860,,2,209,20901,OROTINA,2007-04-23
BC-510,ZARAGOZA S.A.,LAZOS DORADOS S.A.,,,,,,RIEGO,Agroganadería,3.00,,63.00,PERCUSION,G Bar Mira Chap,BARRANCA,217229,468650,224.00,6,602,60204,LA LLANADA DEL CACAO,2002-10-03
BC-511,SIN DATO,SOC.ASES.JUR.HISPANOAMERICANA,,,,,,DOMESTICO,Consumo humano,1.00,,60.00,ROTACION,G Bar Mira Chap,BARRANCA,209850,478700,190.00,2,209,20901,OROTINA,2002-10-18
BC-512,HIDROMAQ S.A.,GALVATICA S.A.,,,,,,INDUSTRIAL,Industrial y comercial,3.00,,60.00,PERCUSION,G Bar Mira Chap,BARRANCA,210538,462692,40.00,2,209,20905,SALINAS,2002-10-29
BC-513,J.J. BADILLA BARQUERO,RONULFO CASTILLO ARIAS,,,,,,DOMEST-RIEGO,Agroganadería,2.50,,62.00,PERCUSION,G Bar Mira Chap,BARRANCA,210932,480920,,2,209,20901,MARICHAL,2002-10-29
BC-514,PERF. ROCA S.A.,ROLACO S.A.,,,,,,RIEGO,Agroganadería,1.00,,80.00,PERCUSION,G Bar Mira Chap,BARRANCA,207500,458940,80.00,6,602,60202,EL SILENCIO,2002-11-05
BC-515,H & M S.A.,CONTROL DE ALARMAS DELTA S.A.,,,,,,DOMESTICO,Consumo humano,0.65,,73.00,ROTACION,G Bar Mira Chap,BARRANCA,206025,475100,140.00,2,209,20904,LIMONAL,2002-11-05
BC-516,CORP. SICAR S.A.,MELONES DEL PACIFICO S.A.,,,,,,RIEGO,Agroganadería,20.00,,50.00,ROTACION,G Bar Mira Chap,BARRANCA,212825,462610,30.00,6,602,60202,CAMBALACHE,2002-11-19
BC-517,SANTOS LTDA.,SARDIMAR S.A.,,,,,,INDUSTRIAL,Industrial y comercial,15.00,,60.00,ROTACION,G Bar Mira Chap,BARRANCA,219090,456430,,6,601,60115,BARRANCA,2002-11-21
BC-518,COSTARRICENSE S.A.,VALLE DEL GENERAL S.A.,,,,,,URBANISTICO,Consumo humano,4.00,,134.00,ROTACION,G Bar Mira Chap,BARRANCA,208370,468270,100.00,2,209,20905,CASCAJAL,2002-12-04
BC-519,PERF. ACUARIO S.A,CREDIBANCO S.A.,,,,,,INDUSTRIAL,Industrial y comercial,2.84,,103.00,PERCUSION,G Bar Mira Chap,BARRANCA,208650,465750,90.00,2,209,20905,KILOMETRO 81,2002-12-05
BC-52,SIN DATO,,,,,,,DOMESTICO,Consumo humano,0.47,,,,G Bar Mira Chap,BARRANCA,212200,465800,140.00,2,204,20403,JESUS MARIA,1975-06-12
BC-520,ULATE INT.S.A.,QUINTA BUBBA S.A.,,,,,,DOMESTICO,Consumo humano,1.00,,60.00,ROTACION,G Bar Mira Chap,BARRANCA,208350,468780,100.00,2,209,20905,GUACIMO,2002-12-16
BC-521,NUEVO MILENIO CIUD.COLON,LA CHATA DE ITALIA S.A.,,,,,,RIEGO,Agroganadería,1.50,,60.00,PERCUSION,G Bar Mira Chap,BARRANCA,211513,476863,160.00,2,209,20901,OROTINA,2003-01-14
BC-522,AGUA SEGURA LTDA.,GIOVANNY PALAVICINI QUESADA,,,,,,RIEGO,Agroganadería,1.25,,100.00,ROTACION,FM.PUNTA CARBAL,BARRANCA,207465,477010,110.00,2,209,20901,OROTINA,2003-01-14
BC-523,J.J. BADILLA BARQUERO,"CORP.INMOBILIARIA L.B.,S.A.",,,,,,RIEGO,Agroganadería,2.00,,58.00,PERCUSION,G Bar Mira Chap,BARRANCA,210760,476100,165.00,2,209,20902,MASTATE,2003-01-16
BC-524,CORP.PERF.AGUA AZUL S.A.,Asoc. Acued. R. El Baron,,,,,,ABAST. PUBLICO,Consumo humano,8.00,,81.00,ROTACION,G Bar Mira Chap,BARRANCA,216290,467330,,6,602,60204,EL BARON,2003-01-22
BC-525,NUEVO MILENIO CIUD.COLON,VIOLETA BARTH VARGAS,,,,,,RIEGO,Agroganadería,1.80,,60.00,PERCUSION,FM PUNTA CARBAL,BARRANCA,210600,475960,140.00,2,209,20902,MASTATE,2003-01-27
BC-526,AGUA SEGURA LTDA.,MANUEL ALFARO Y ANA SUAREZ,,,,,,RIEGO,Agroganadería,2.00,,103.00,ROTACION,G Bar Mira Chap,BARRANCA,203675,469990,115.00,6,611,61102,LAGUNILLAS,2003-01-27
BC-527,J.J. BADILLA BARQUERO,ALFRDO RUDIN DIERMISSEN,,,,,,RIEGO,Agroganadería,2.00,,62.00,PERCUSION,G Bar Mira Chap,BARRANCA,209425,470150,120.00,2,209,20905,CEIBA,2003-01-27
BC-528,AGUA SEGURA LTDA.,INV.COSTARRICENSE JERIKO LTDA.,,,,,,RIEGO,Agroganadería,1.50,,73.00,ROTACION,G Bar Mira Chap,BARRANCA,208945,480185,180.00,2,209,20901,LA COYOLERA,2003-02-10
BC-529,ZARAGOZA S.A.,FERJUCA S.A.,,,,,,RIEGO,Agroganadería,2.00,,83.00,PERCUSION,G Bar Mira Chap,BARRANCA,210120,479090,220.00,2,209,20901,OROTINA,2003-02-17
BC-53,SIN DATO,,,,,,,DOMESTICO,Consumo humano,0.50,,,,G Bar Mira Chap,BARRANCA,213000,465300,,2,204,20403,JEUS MARIA,1975-06-12
BC-530,J.J. BADILLA BARQUERO,JOSE F.QUESADA MARTOS,,,,,,RIEGO,Agroganadería,1.50,,58.00,PERCUSION,G Bar Mira Chap,BARRANCA,208150,467780,110.00,2,209,20905,LA CEIBA,2003-02-24
BC-531,ZARAGOZA S.A.,CARLOS SANCHEZ/FRANCISCA B.,,,,,,RIEGO,Agroganadería,2.00,,70.00,PERCUSION,G Bar Mira Chap,BARRANCA,210835,464590,85.00,2,204,20403,ORICUAJO,2003-02-24
BC-532,ZARAGOZA S.A.,ALVARO SANCHO PIEDRA,,,,,,RIEGO,Agroganadería,1.50,,106.00,PERCUSION,G Bar Mira Chap,BARRANCA,202525,472275,180.00,6,611,61102,CAPULIN,2003-02-24
BC-533,TRIPLE A S.A.,JORGE SOTO SEQUEIRA,,,,,,RIEGO,Agroganadería,1.00,,35.00,PERCUSION,G Bar Mira Chap,BARRANCA,219200,466560,225.00,6,602,60202,SAN JUAN CHIQUITO,2002-03-06
BC-534,NUEVO MILENIO CIUD.COLON,FABRICA DE CAFE MONTERO LTDA.,,,,,,RIEGO,Agroganadería,1.25,,72.00,PERCUSION,FM PTA.CARBALLO,BARRANCA,206825,480850,145.00,1,116,11603,PASO AGRES,2003-03-13
BC-535,PERF. ACUARIO S.A,LIBRERIA Y DISTRIB.BARSANT S.A,,,,,,DOMESTICO,Consumo humano,0.31,,35.00,PERCUSION,G Bar Mira Chap,BARRANCA,214290,480500,260.00,2,204,20401,DESAMPARADOS,2003-03-13
BC-536,WILLIAM RAMOS ROBLES,CONSTRUCTORA BRUMOSA S.A.,,,,,,URBANISTICO,Consumo humano,3.00,,60.00,PERCUSION,G Bar Mira Chap,BARRANCA,218625,463475,,6,602,60202,SAN JUAN,2003-03-24
BC-537,VALLE CORAL S.A.,QUINTA DE CAMPO S.A.,,,,,,RIEGO,Agroganadería,3.00,,100.00,PERCUSION,GPO.AGUACATE,BARRANCA,209000,480500,,2,209,20901,OROTINA,2003-03-24
BC-538,GOLDONI S.A.,HDA.LOS COMPADRES S.A.,,,,,,DOMESTICO,Consumo humano,1.00,,120.00,PERCUSION,G Bar Mira Chap,BARRANCA,208360,478750,45.00,2,209,20901,EL TIGRE,2003-03-24
BC-539,AGUA SEGURA LTDA.,SEMEN CONGELADO DE COSTA RICA,,,,,,RIEGO,Agroganadería,1.50,,75.00,ROTACION,FM.PUNTA CARBAL,BARRANCA,212225,477300,200.00,2,209,20901,OROTINA,2003-03-26
BC-54,SENARA,MOPT,,,,,,DOMESTICO,Consumo humano,3.15,,59.00,PERCUSION,G Bar Mira Chap,BARRANCA,210000,461700,10.00,6,602,60202,HDA SALINAS,1975-09-10
BC-540,NUEVO MILENIO CIUD.COLON,DELBERTH RUIZ BENAVIDES,,,,,,RIEGO,Agroganadería,0.50,,103.00,PERCUSION,FM.PTA.CARBALLO,BARRANCA,207450,479225,150.00,1,116,11603,HACIENDA MOLINO,2003-03-28
BC-541,,CAFECAVISA S.A,,,,,,DOMESTICO,Consumo humano,8.00,,69.00,,G Bar Mira Chap,BARRANCA,204800,473475,174.00,2,209,20904,SAN JERONIMO,2002-08-02
BC-542,,ICO DE ESPARZA 91 S.A,,,,,,DOMESTICO,Consumo humano,1.50,,9.00,,G Bar Mira Chap,BARRANCA,207900,458300,208.00,6,602,60202,FINCA SILENCIO,2002-08-30
BC-543,,ICO DE ESPARZA 97 S.A,,,,,,DOMESTICO,Consumo humano,2.00,,12.00,EXCAVADO,G Bar Mira Chap,BARRANCA,208060,456900,208.00,6,602,60202,FINCA SILENCIO,2002-08-30
BC-544,,ICO DE ESPARZA 91 S.A,,,,,,DOMESTICO,Consumo humano,3.00,,63.00,,G Bar Mira Chap,BARRANCA,208150,458350,,6,602,60202,FCA SILENCIO,1991-08-30
BC-545,,ICO DE ESPARZA 97,,,,,,DOMESTICO,Consumo humano,3.00,,63.00,,G Bar Mira Chap,BARRANCA,208150,458350,208.00,6,602,60202,FINCA SILENCIO,2002-08-30
BC-546,,ICO DE ESPARZA 91,,,,,,DOMESTICO,Consumo humano,3.00,,63.00,,G Bar Mira Chap,BARRANCA,208150,458350,208.00,6,602,60202,FINCA SILENCIO,2002-08-30
BC-547,,ICO 91 DE ESPARZA,,,,,,DOMESTICO,Consumo humano,1.50,,9.00,EXCAVADO,G Bar Mira Chap,BARRANCA,208400,458300,208.00,6,602,60202,FINCA SILENCIO,2002-08-02
BC-548,,ENRIQUE HERRERA CHACON,,,,,,INDUSTRIAL,Industrial y comercial,2.00,,35.00,ROTACION,G Bar Mira Chap,BARRANCA,219575,465425,243.00,6,602,60203,NANCES,2002-08-02
BC-549,MIS DOS ANGELITOS M Y M,PARQUE NATURAL AGROPECUARIO DE COSTA RICA S.A,,,,,,DOMESTICO,Consumo humano,3.00,,40.00,PERCUSION,G Bar Mira Chap,BARRANCA,213295,481038,,2,204,20402,SAN MATEO,2007-06-05
BC-55,SENARA,FERTICA S.A.,,,,,,INDUSTRIAL,Industrial y comercial,,,41.00,PERCUSION,G Bar Mira Chap,BARRANCA,218100,455950,,6,601,60108,EL ROBLE,1976-12-14
BC-550,ZARAGOZA S.A.,JOSE FRANCISCO RODRIGUEZ SALAS,,,,,,DOMESTICO,Consumo humano,2.00,,80.00,ROTACION,G Bar Mira Chap,BARRANCA,208719,475587,,2,209,20904,CORAZON DE JESUS,2007-06-08
BC-551,TRIPLE A S.A.,OLMAN G SALAS UMA?A,,,,,,DOMESTICO,Consumo humano,1.00,,70.00,PERCUSION,G Bar Mira Chap,BARRANCA,206600,466850,,2,209,20905,BAJA MAR,2007-06-29
BC-552,J.J. BADILLA BARQUERO,"P.R.R.A.K,S.A.",,,,,,RIEGO,Agroganadería,3.00,,62.00,PERCUSION,G Bar Mira Chap,BARRANCA,210025,468130,108.00,2,209,20905,CASCAJAL,2003-04-30
BC-553,TRIPLE A S.A.,JAVIER ROMAN ARIAS,,,,,,DOMESTICO,Consumo humano,1.50,,70.00,PERCUSION,G Bar Mira Chap,BARRANCA,211800,479850,200.00,2,209,20901,OROTINA,2003-05-07
BC-554,ZARAGOZA S.A.,AGRICOLA GANADERA JUANILAMA,,,,,,INDUSTRIAL,Industrial y comercial,1.00,,60.00,PERCUSION,G Bar Mira Chap,BARRANCA,218780,464210,210.00,6,602,60202,SAN JUAN GDE.,2003-05-07
BC-555,SIN DATO,MARIA L.MONESTEL NARANJO,,,,,,DOMESTICO,Consumo humano,1.50,,45.00,PERCUSION,FM PTA.CARBALLO,BARRANCA,219330,466600,230.00,6,602,60202,SAN JUAN CHIQUITO,2003-05-07
BC-556,TRIPLE A S.A.,TISIO S.A.,,,,,,RIEGO,Agroganadería,4.00,,70.00,PERCUSION,G Bar Mira Chap,BARRANCA,212200,480800,600.00,2,209,20903,CUATRO ESQUINAS,2003-05-07
BC-557,GOLDONI S.A.,GALVATICA S.A.,,,,,,INDUSTRIAL,Industrial y comercial,3.50,,150.00,ROTACION,FM TIVIVES,BARRANCA,210150,462350,40.00,2,209,20905,SALINAS,2003-05-07
BC-558,GOLDONI S.A.,GALVATICA S.A.,,,,,,INDUSTRIAL,Industrial y comercial,3.80,,110.00,ROTACION,G Bar Mira Chap,BARRANCA,210200,462450,40.00,2,209,20905,SALINAS,2003-05-07
BC-559,GOLDONI S.A.,GALVATICA S.A.,,,,,,INDUSTRIAL,Industrial y comercial,3.10,,160.00,ROTACION,FM TIVIVES,BARRANCA,210400,462600,40.00,2,209,20905,MACHUCA,2003-05-07
BC-56,SENARA,C.C.S.S.,,,,,,ABAST. PUBLICO,Consumo humano,6.30,,22.00,PERCUSION,F Golfo,BARRANCA,218050,454300,,6,601,60115,HOSP MONS.SAN..,1976-12-14
BC-560,GOLDONI S.A.,GALVATICA S.A. (EUROAMERICA),,,,,,INDUSTRIAL,Industrial y comercial,3.22,,83.00,ROTACION,G Bar Mira Chap,BARRANCA,210300,462550,40.00,2,209,20905,SALINAS,2003-05-07
BC-561,ZARAGOZA S.A.,RAFAEL PALMA Y MARYORIE PICADO,,,,,,RIEGO,Agroganadería,2.00,,101.00,PERCUSION,G Bar Mira Chap,BARRANCA,202565,472040,160.00,6,611,61102,CAPULIN,2003-05-20
BC-562,J.J. BADILLA BARQUERO,CECARSA S.A.,,,,,,RIEGO,Agroganadería,2.50,,56.00,PERCUSION,G Bar Mira Chap,BARRANCA,210510,478345,160.00,2,209,20901,OROTINA,2003-05-20
BC-563,SIN DATO,DOMINIEQUE GUILLEN FEMENIAS,,,,,,RIEGO,Agroganadería,2.00,,60.00,PERCUSION,G Bar Mira Chap,BARRANCA,213975,462000,,6,602,60202,CASCABEL,2003-05-20
